key
"(154, 600000266003)"
"(529, 600000267497)"
"(471, 610000204558)"
"(29, 600000059885)"
"(291, 600000204120)"
"(44, 420000001452)"
"(48, 600000057565)"
"(13, 600000502018)"
"(559, 600000203512)"
"(108, 600000233987)"
"(158, 600000530010)"
"(110, 600000050608)"
"(16, 600000526784)"
"(71, 600000059654)"
"(272, 600000203135)"
"(273, 600000059346)"
"(458, 600000234128)"
"(351, 600000032878)"
"(69, 600000203296)"
"(166, 600000255440)"
"(189, 600000229982)"
"(401, 600000059385)"
"(155, 600000202520)"
"(469, 600000016956)"
"(323, 420000003631)"
"(528, 600000031851)"
"(705, 600000253004)"
"(34, 600000532971)"
"(92, 600000230226)"
"(148, 600000502628)"
"(701, 600000203681)"
"(585, 600000260499)"
"(565, 600000054155)"
"(371, 600000059677)"
"(80, 600000530073)"
"(642, 600000278262)"
"(173, 900000056787)"
"(35, 600000528999)"
"(73, 300000010739)"
"(53, 600000061437)"
"(54, 600000532858)"
"(283, 600000209373)"
"(47, 600000504329)"
"(84, 600000531600)"
"(51, 600000526441)"
"(307, 600000208501)"
"(59, 600000527439)"
"(153, 600000263414)"
"(129, 300000008001)"
"(483, 600000200097)"
"(22, 600000261377)"
"(147, 600000262243)"
"(19, 610000205107)"
"(78, 600000254497)"
"(312, 600000267461)"
"(11, 600000210544)"
"(277, 600000204642)"
"(256, 600000531995)"
"(487, 600000207198)"
"(80, 600000526680)"
"(151, 600000260760)"
"(72, 600000269246)"
"(471, 600000531553)"
"(448, 600000059340)"
"(105, 420000002160)"
"(629, 600000502251)"
"(89, 600000232699)"
"(657, 600000255310)"
"(11, 420000002745)"
"(647, 600000211688)"
"(276, 600000269370)"
"(436, 600000100317)"
"(300, 600000531932)"
"(98, 600000526928)"
"(301, 600000060142)"
"(618, 600000058453)"
"(699, 300000010698)"
"(337, 600000201838)"
"(392, 600000231138)"
"(22, 600000527198)"
"(201, 600000054339)"
"(612, 600000234487)"
"(42, 600000225344)"
"(227, 600000230464)"
"(128, 600000015621)"
"(462, 600000060174)"
"(533, 600000229350)"
"(475, 600000532996)"
"(149, 600000279180)"
"(430, 600000204959)"
"(5, 600000201827)"
"(608, 600000278134)"
"(174, 600000208011)"
"(607, 600000229069)"
"(620, 600000268989)"
"(364, 600000006491)"
"(605, 600000531860)"
"(46, 420000001606)"
"(98, 600000022296)"
"(49, 600000530047)"
"(449, 600000225290)"
"(549, 420000004329)"
"(264, 600000279790)"
"(124, 600000502018)"
"(495, 600000230083)"
"(10, 600000254696)"
"(50, 600000206673)"
"(390, 600000526585)"
"(575, 600000204796)"
"(602, 600000061175)"
"(81, 600000006228)"
"(503, 600000526930)"
"(369, 600000203391)"
"(191, 600000526142)"
"(117, 600000502430)"
"(614, 600000255830)"
"(33, 600000029616)"
"(250, 600000230340)"
"(7, 600000260800)"
"(383, 600000200691)"
"(536, 600000012190)"
"(191, 600000001955)"
"(206, 600000525022)"
"(229, 600000056907)"
"(49, 600000059340)"
"(416, 600000059704)"
"(507, 600000056810)"
"(8, 600000229183)"
"(228, 600000060696)"
"(627, 600000254050)"
"(499, 600000208675)"
"(248, 420000003571)"
"(587, 900000200324)"
"(432, 600000267339)"
"(5, 300000010745)"
"(34, 600000268152)"
"(131, 600000269804)"
"(214, 600000203151)"
"(381, 600000229729)"
"(18, 600000502223)"
"(241, 600000228509)"
"(299, 600000201748)"
"(211, 600000204865)"
"(259, 600000267112)"
"(250, 600000205435)"
"(580, 600000530078)"
"(359, 600000253572)"
"(275, 600000209322)"
"(25, 600000210950)"
"(181, 600000201931)"
"(342, 600000059376)"
"(410, 600000261745)"
"(543, 600000232769)"
"(79, 600000530104)"
"(282, 600000058680)"
"(83, 600000201284)"
"(24, 900000056618)"
"(40, 600000200461)"
"(227, 600000209087)"
"(28, 600000268301)"
"(170, 600000206381)"
"(102, 600000503129)"
"(238, 600000204208)"
"(23, 610000203761)"
"(430, 600000254710)"
"(420, 420000005010)"
"(389, 600000268182)"
"(69, 600000503631)"
"(58, 600000278911)"
"(67, 600000056361)"
"(357, 600000225175)"
"(504, 600000060469)"
"(404, 600000061553)"
"(13, 600000531222)"
"(26, 610000203777)"
"(77, 420000002745)"
"(120, 600000231228)"
"(554, 610000203708)"
"(478, 600000204482)"
"(260, 420000002510)"
"(735, 600000513220)"
"(300, 600000201783)"
"(147, 600000526914)"
"(293, 600000206674)"
"(357, 600000200503)"
"(534, 600000267230)"
"(237, 600000055089)"
"(253, 600000204217)"
"(298, 600000031318)"
"(33, 600000531288)"
"(136, 600000234215)"
"(465, 600000209087)"
"(232, 600000266160)"
"(576, 600000055360)"
"(518, 600000231191)"
"(548, 600000059061)"
"(395, 610000203724)"
"(647, 600000013842)"
"(36, 600000526303)"
"(230, 600000278423)"
"(584, 600000201234)"
"(270, 600000208882)"
"(100, 420000003274)"
"(391, 600000061073)"
"(274, 600000206545)"
"(141, 600000029616)"
"(3, 600000520342)"
"(745, 600000031735)"
"(150, 600000203563)"
"(232, 600000265894)"
"(42, 600000278878)"
"(127, 600000208650)"
"(322, 600000206040)"
"(632, 600000031169)"
"(15, 600000200168)"
"(670, 600000207977)"
"(384, 600000261998)"
"(16, 600000530080)"
"(300, 600000016105)"
"(78, 600000201935)"
"(179, 600000530043)"
"(126, 600000231470)"
"(160, 610000203756)"
"(9, 600000203545)"
"(63, 800000041518)"
"(76, 600000502578)"
"(167, 600000201461)"
"(42, 600000228471)"
"(525, 600000231615)"
"(634, 600000504330)"
"(93, 600000526693)"
"(32, 600000526147)"
"(525, 600000234648)"
"(5, 600000002449)"
"(528, 600000051898)"
"(642, 800000041033)"
"(363, 600000255561)"
"(79, 600000206696)"
"(240, 600000529197)"
"(429, 600000253319)"
"(470, 600000059011)"
"(273, 600000231893)"
"(75, 600000054008)"
"(321, 600000061849)"
"(203, 600000208712)"
"(146, 600000012007)"
"(276, 600000234610)"
"(482, 600000232980)"
"(320, 600000204917)"
"(648, 600000204134)"
"(72, 600000050608)"
"(46, 600000229251)"
"(79, 600000525120)"
"(493, 600000056264)"
"(199, 600000058614)"
"(210, 600000006228)"
"(582, 600000234000)"
"(222, 600000502319)"
"(293, 600000206855)"
"(10, 600000200059)"
"(563, 600000202349)"
"(554, 600000254883)"
"(695, 600000058786)"
"(274, 600000057214)"
"(378, 600000210689)"
"(201, 600000228336)"
"(255, 600000207337)"
"(342, 600000267052)"
"(370, 600000504081)"
"(133, 600000229692)"
"(472, 600000222238)"
"(689, 600000531937)"
"(335, 600000054478)"
"(590, 600000532802)"
"(146, 600000255637)"
"(558, 600000265894)"
"(669, 600000254026)"
"(150, 600000005171)"
"(269, 600000504170)"
"(111, 600000531988)"
"(227, 600000200650)"
"(356, 600000268398)"
"(141, 600000059693)"
"(535, 600000228022)"
"(30, 600000502695)"
"(22, 600000527707)"
"(258, 420000002685)"
"(379, 600000278503)"
"(267, 600000528993)"
"(357, 600000051368)"
"(363, 600000502566)"
"(339, 600000024355)"
"(187, 600000528765)"
"(648, 600000232351)"
"(441, 600000231180)"
"(686, 420000004303)"
"(325, 600000206224)"
"(320, 600000056629)"
"(299, 600000267383)"
"(655, 600000527752)"
"(70, 600000230017)"
"(319, 600000503738)"
"(210, 600000278964)"
"(144, 600000204164)"
"(221, 600000263728)"
"(111, 600000265560)"
"(93, 600000200538)"
"(623, 600000061240)"
"(672, 600000057864)"
"(581, 600000265675)"
"(553, 600000253004)"
"(367, 600000233302)"
"(314, 600000263702)"
"(387, 600000255618)"
"(446, 600000200992)"
"(151, 600000525945)"
"(4, 600000526303)"
"(586, 600000209267)"
"(466, 600000526930)"
"(175, 600000229945)"
"(350, 600000253309)"
"(287, 600000031406)"
"(344, 600000016105)"
"(216, 600000260208)"
"(542, 600000277647)"
"(147, 600000101027)"
"(24, 600000504094)"
"(417, 600000526917)"
"(471, 600000209265)"
"(278, 600000267573)"
"(110, 600000253722)"
"(385, 600000200509)"
"(31, 600000527947)"
"(114, 600000225280)"
"(78, 600000531995)"
"(235, 600000530073)"
"(372, 600000061237)"
"(239, 600000200256)"
"(287, 600000230500)"
"(217, 600000201081)"
"(599, 600000208762)"
"(360, 600000205856)"
"(64, 600000525827)"
"(497, 600000527132)"
"(179, 600000532887)"
