,상품명,단가,상품코드
260,미전지 불고기용,5182,207011
261,진미)태양초고추장1kg,4680,8801389015782
262,국산양파(2kg/중/망/국산),2980,2100000460977
263,제당)요리올리고당1.2kg,2900,8801007077352
264,엘)샤프란시어버터리필코튼,3980,8801051026429
265,엘)테크액체드럼용기,8900,8801051215786
266,서)스위트롤16곡,9900,8809406850590
267,"다흰닭,닭볶음탕트레이",5100,8809401330226
268,키친아트경질냄비편수,9800,8805332004571
269,녹차도시락김20단,4200,8809060472589
270,제당)햇반200*4,3480,8801007129495
271,남)맛있는우유GT900기획,3980,8801069221397
272,1회용면도기(도루코),2000,8801038113814
273,흥진가시오가피375ML,1200,8809065310053
274,10입)오븐에구운도넛,6800,8801068376609
275,크린업소용랩40*500,11900,8801252015826
276,서)태광생강맛,3980,8803841889047
277,3M다목적수세미1P소AL-173,1050,8806080009313
278,담양우리콩청국장,2700,8809092973382
279,동원)미니비엔나,3980,8801047573524
280,남)프로바이오틱청포도135*4입,2980,8801069228266
281,바)호두마루바,330,8801019508783
282,샘표)금F3진간장1.8L,7800,8801005133029
283,네이클린위생백(대),5150,8804340000032
284,양배추(3입/특/망/국산),9900,2100000626458
285,곰표)튀김가루1kg,1450,8801176250020
286,수입 냉장 설깃 불고기,16055,207958
287,"숙주나물(3.5kg,두레박)",4500,8807769000348
288,팽이버섯꼬리(2kg/특/봉/국산),4980,2100000629817
289,매생이,5500,206503
290,가야산천년수500ml*20,3000,8809274240066
291,오뚜기)삼포만두3kg,9800,8801408124488
292,수입 대패삼겹살,13435,208005
293,푸건)찰순대,3200,8809379740096
294,대림)알뜰사각어묵,2980,8801066300347
295,동서)크라프트파마산,6900,21000023851
296,동서)맥심모카골드170g리필,8750,8801037028706
297,ES윤슬중건성샴푸750M,5900,8801051150421
298,샌드)부라보샌드,650,8801019515026
299,빙)요플레플레인화이트450,3300,8801104301183
300,빙)굿모닝우유900,1800,8801104210645
301,샌드)찰떡시모나,650,8801019508912
302,바)인절미통통,330,8801019509650
303,오뚜기)쇠고기카레200g,790,8801045312316
304,제당)녹차호떡믹스400g,1980,8801007231884
305,빙)굿모닝저지방930,1500,8801104212670
306,오성)참맛두부,800,8802015101633
307,마니커)순살가라아게,7900,8809251330872
308,생연어[필렛],12960,206565
309,사조대림)야채튀김,9500,8801066053489
310,오뚜기짜장면135g*4,2980,8801045525532
311,미)혼합파프리카(3입/특/팩/국산),3480,8809672160041
312,웰쿠스)콘소시지,5200,8809335383305
313,다이아)생칵테일새우31-40,14500,8809449222385
314,태일)피홍합1kg,3800,8809385510164
315,팩느타리버섯(2kg/특/박스/국산),7900,2100000629718
316,다이아)에콰새우41-50,25500,8809449221029
317,진미들깨향,8300,8809150182602
318,킹)모짜렐라500g,5000,8809360902465
319,월)시카고피자페파로니,4150,8809536230156
320,대림)수제피자콤비,4580,8801066054790
321,진로이스백,1200,8801048101023
322,콩이가득두부(찌)300,1000,8801024050864
323,모듬채소(소분/특/봉/국산),4980,2100000631995
324,씨제이)깨끗한콩나물,1500,8801007565309
325,늘처음.닭가슴살,7600,8809401330523
326,동원)들기름김20p,4580,8801047224464
327,두레)콩나물300g,850,8802640005009
328,바)서울멜론바,330,8809089690841
329,삼양)왕짱구275g,2480,8801073310742
330,롯데꼬깔콘달콤한맛120g,1500,8801062893577
331,	 양반)전복죽파우치,2690,8801047169246
332,오뚜기)옛날자른당면500g,4300,8801045375038
333,팔도강산)웰빙돌자반,3300,8809060472619
334,수입 보쌈용 삼겹살,17836,208004
335,동원)카놀라유900*2기획,5500,8801047823643
336,남)떠먹는불가리스딸기4입,2790,8801069219455
337,창희)생칼국수,2850,8802151900091
